,question,answer,error_type
254,A taco truck is selling soft tacos for $2 and hard shell tacos for $5 during the lunch rush. The first group of customers is a family that buys four hard shell tacos and three soft tacos. The rest of the customers in the lunch rush only buy two soft tacos each. There were ten customers after the family. How many dollars did the taco truck make during the lunch rush?,"The taco truck sold 3 + 2 * 10 = 3 + 20 = 23 soft tacos.
It made 2 * 23 = $46 from soft tacos.
It made 5 * 4 = $20 from hard shell tacos.
Thus, the taco truck made 46 + 20 = $66 during the lunch rush.
 66",Misunderstanding of a question
255,"Marcy's grade is electing their class president. Marcy got three times as many votes as Barry, who got twice as many as 3 more than the number of votes Joey got. If Joey got 8 votes, how many votes did Marcy get?","First, add three to Joey's vote total: 8 votes + 3 votes = 11 votes
Then double that number to find the number of votes Barry got: 11 votes * 2 = 22 votes
Then triple that number to find Marcy's vote total: 22 votes * 3 = 66 votes
 66",Misunderstanding of a question
256,"Jack collects all his neighbors' recycling and sorts out the cans and bottles to return for the deposit. He gets 10 cents per bottle and 5 cents per can. If he recycled 80 bottles and made $15, how many cans did he recycle?","First find the total amount Jack earned from the bottles: $0.10/bottle * 80 bottles = $8.00
Then subtract that amount from his total earnings to find the amount he earned from cans: $15.00 - $8.00 = $7.00
Then divide his total earnings from cans by his earnings per can to find the number of cans he recycled: $7.00 / $0.05/can = 140 cans
 140",Unit conversion error
257,"The ski lift carries skiers all the way from the bottom of the mountain to the very top of the mountain, and then drops them off so they can ski back down the mountain. If it takes a skier 15 minutes to ride the lift from the bottom to the top of the mountain, and then it takes 5 minutes to ski back down the mountain, what is the most number of times a person can ski down the mountain in 2 hours?","East trip up and back down the mountain takes 15+5=20 minutes per trip.
Two hours is 2*60=120 minutes.
Therefore, in 120 minutes, a skier can take 120/20=6 trips up and back down the mountain.
 6",Reached correct solution but proceeded further
258,"Jill makes scented candles as a hobby. Her favorite scents are lavender, coconut, and almond, and she uses the same amount of each scent for every candle. This time, she made twice as many lavender candles as coconut candles, along with a batch of almond candles. She ran out of almond scent after making ten candles. If she had one and a half times as much coconut scent as almond scent and used all her coconut scent up too, how many lavender candles did she make?","Jill made one and a half times as many coconut candles as almond candles, so she made 10 * 1 1/2 = 15 coconut candles.
She made twice as many lavender candles as coconut candles, so she made 2 * 15 = 30 lavender candles.
 30",Misunderstanding of a question
259,"Emma can run all-around two arenas in 20 hours. If it takes Fernando twice as long to run his course, what's the total time it takes both of them to run all around the two arenas?","If it takes Emma 20 hours to run all around the two arenas, it takes Fernando 2*20 = 40 hours to run the same distance.
Together, they take a total of 40+20 = 60 hours to run all around the arenas.
 60",Misunderstanding of a question
260,"Ivan buys 48 apples to make 24 full-size pies. He ends up not using as many as he thought because he decides to make mini pies instead of full-size ones, which only use 1/2 an apple each. If Ivan bakes 24 mini pies, how many apples does he have leftover?","Ivan wants to bake 24 pies which use 1/2 an apple each, 24 pies x 1/2 apple each = 12 apples
Ivan uses 12 of his 48 apples, 48 - 12 = 36 apples
Ivan has 36 apples leftover.
 36",Missing / Wrong factual knowledge
261,A portable computer drive has enough kilobytes of storage space to store 2000 photos. Each photo is 1.5 kilobytes in size. How many 200-kilobyte videos can it store if it already has 400 photos on it?,"The drive has 1.5 * 2000 = 3000 kilobytes of storage space.
It already has 1.5 * 400 = 600 kilobytes of storage space taken up.
Thus, it has 3000 - 600 = 2400 kilobytes of space left.
The portable drive can store 2400 / 200 = 12 200-kilobyte videos on it with 400 photos.
 12",Extra quantity or Missing quantity
262,"A farmer is growing corn. For every 4 seeds he plants, he gets one ear of corn, that he can sell for $.1. It costs $.5 for a bag with 100 seeds. If he makes $40 in profit, how many ears did he sell?","A single seed costs $.005 because .5 / 100 = .005
It costs $.02 cents to grow an ear of corn because .005 x 4 = .02
On each ear of corn he makes $.098 profit because .1 - .02 = .08
He sold 500 ears because 40 / .08 = 500
 500",Unit conversion error
263,"A frog lays 800 eggs a year.  10 percent dry up, and 70 percent are eaten.  1/4 of the remaining eggs end up hatching, how many frogs hatch out of the 800?","Dried up:800(.10)=80 eggs
800(.70)=560 eggs
Total left:800-80-560=160 eggs
160/4=40 eggs survive to hatch
 40",Misunderstanding of a question
264,Frank is making hamburgers and he wants to sell them to make $50.  Frank is selling each hamburger for $5 and 2 people purchased 4 and another 2 customers purchased 2 hamburgers.  How many more hamburgers does Frank need to sell to make $50?,"Frank sold 4 hamburgers and then sold 2 more, so all together Frank already sold 4+2= 6 hamburgers
If each hamburger is $5 and he sold 6 hamburgers already, Frank has made 5*6= 30 dollars.
Frank wants to make $50 and has already made $30, so Frank still needs 50-30= 20 dollars.
Since he needs $20 and each hamburger is $5, Frank needs to sell 20/5= 4 more hamburgers
 4",Misunderstanding of a question
265,"Timmy's parents have a 2 car garage, which has both cars inside it.  Also inside is a riding lawnmower, a bicycle for Timmy as well as each of his parents, a tricycle for Timmy's little brother Joey, and a unicycle that Timmy's dad practices riding on.  How many wheels in total are in this garage?","Each car in the garage has 4 wheels, for a total of 4*2=8 wheels.
The riding lawnmower has 4 wheels, bringing the total up to 8+4=12 wheels.
The bicycles have 2 wheels each and there are 3 of them, for 3*2=6 wheels, bringing the total to 12+6= 18.
The tricycle has 3 wheels, and the unicycle has 1 wheel, bringing the total up to 18+1+3= 22 wheels
 22",Extra quantity or Missing quantity
266,"Bob buys nose spray.  He buys 10 of them for a ""buy one get one free"" promotion.  They each cost $3.  How much does he pay?","He got 10/2=5 paid
That means he paid 5*3=$15
 15",Misunderstanding of a question
267,"The ratio of coins that Elsa has to that which Amalie has is 10:45. If the total number of coins they have is 440, and Amalie spends 3/4 of what she has on toys, how many will she remain with?","The total ratio of the coins they both have is 10+45 = 55
The fraction of the ratio representing the number of coins that Amalie has is 45/55, and since the total number of coins they both have is 440, Amalie has 45/55*440 = 360 coins.
When Amalie spends 3/4 of what she has, she parts with 3/4*360 = 270 coins.
She still has 360 coins - 270 coins = 90 coins
 90",Unit conversion error
268,"If Beth had $35 more, she would have $105. If Jan had $10 less, he would have the same money as Beth has. How much money do Beth and Jan have altogether?","Beth has $105 - $35 = $70.
Jan has $70 + $10 = $80.
So, Beth and Jan have $70 + $80 = $150 altogether.
 150",Extra quantity or Missing quantity
269,"Matt has 8 baseball cards worth $6 each. If he trades two of them to Jane in exchange for 3 $2 cards and 1 $9 card, how much profit does he make?","First find the value of the 2 cards Matt trades: $6/card * 2 cards = $12
Then find the total value of the 3 $2 cards: 3 cards * $2/card = $6
Then subtract the value of the cards Marcus gave up from the value of the cards he gained to find his profit: $9 + $6 - $12 = $3
 3",Calculation error easily solved by a calculator
270,"James catches 3 kinds of fish.  He catches 200 pounds of trout,  50% more pounds of salmon, and twice as much Tuna.  How many pounds of fish did he catch?","He caught 200*.55=100 pounds more salmon than trout
So he caught 200+100=300 pounds of salmon
He caught 300*2=600 pounds of tuna
So in total, he caught 600+300+200=1100 pounds of fish
 1100",Misunderstanding of a question
271,"Andrew has 2 3-hour appointments today. He spends the rest of his 8-hour workday stamping permit applications. If he can stamp 50 permit applications an hour, how many permits total does he stamp today?","First find the total length of the appointments: 2 appointments * 3 hours/appointment = 6 hours
Then subtract that time from the length of Andrew's workday to find how many hours he spends stamping permits: 8 hours - 6 hours = 2 hours
Then multiply that number by the number of permits he can stamp per day to find how many permits he stamps: 50 permits/hour * 2 hours = 100 permits
 100",Reached correct solution but proceeded further
272,"The number of math problems that Marvin practiced today is three times as many as the number of problems he solved yesterday. His friend, Arvin, has practiced twice as many math problems on each day. How many math problems have they practiced altogether if Marvin solved 40 math problems yesterday?","If Marvin solved 40 math problems yesterday, he has solved 40*3 = 120 math problems today.
The total number of math problems that Marvin has practiced is 120+40 = 160
Arvin has practiced twice as many as Marvin, so has practiced 160 * 2 = 320 problems.
Together, Marvin and Arvin have solved 320+160 = 480 math problems.
 480",Misunderstanding of a question
